qid,hallucination_id,method,injection_type,injected_numeric,gate_1_detected,gate_2_detected,gate_3_detected,end_gate_detected,any_detected,actionable_detected,early_detected,pre_narrative_detected,injected_in_final
FB_049_4416C718,FB_049_4416C718_H1,vanilla,percentage,0.0,False,False,False,False,False,False,False,False,False
FB_050_A0B82AEA,FB_050_A0B82AEA_H2,vanilla,dollar_amount,2780.0,False,False,False,False,False,False,False,False,True
FB_050_A0B82AEA,FB_050_A0B82AEA_H1,vanilla,dollar_amount,4922.0,False,False,False,False,False,False,False,False,True
FB_051_091D46D5,FB_051_091D46D5_H3,vanilla,dollar_amount,29580.0,False,False,False,False,False,False,False,False,True
FB_051_091D46D5,FB_051_091D46D5_H2,vanilla,dollar_amount,55020.0,False,False,False,False,False,False,False,False,True
FB_051_091D46D5,FB_051_091D46D5_H1,vanilla,percentage,10.3,False,False,False,False,False,False,False,False,False
FB_052_FC76DF78,FB_052_FC76DF78_H3,vanilla,large_number,1157.0,False,False,False,False,False,False,False,False,True
FB_052_FC76DF78,FB_052_FC76DF78_H2,vanilla,large_number,32254.0,False,False,False,False,False,False,False,False,True
FB_052_FC76DF78,FB_052_FC76DF78_H1,vanilla,large_number,1229.0,False,False,False,False,False,False,False,False,True
FB_053_05E755A5,FB_053_05E755A5_H3,vanilla,dollar_amount,1210.0,False,False,False,False,False,False,False,False,True
FB_053_05E755A5,FB_053_05E755A5_H2,vanilla,large_number,1421.0,False,False,False,False,False,False,False,False,True
FB_053_05E755A5,FB_053_05E755A5_H1,vanilla,large_number,852.0,False,False,False,False,False,False,False,False,False
FB_054_F1BBC565,FB_054_F1BBC565_H3,vanilla,dollar_amount,911.0,False,False,False,False,False,False,False,False,True
FB_054_F1BBC565,FB_054_F1BBC565_H2,vanilla,dollar_amount,2191.0,False,False,False,False,False,False,False,False,True
FB_054_F1BBC565,FB_054_F1BBC565_H1,vanilla,dollar_amount,789.0,False,False,False,False,False,False,False,False,False
FB_055_B75D0172,FB_055_B75D0172_H3,vanilla,large_number,822.0,False,False,False,False,False,False,False,False,False
FB_055_B75D0172,FB_055_B75D0172_H2,vanilla,large_number,698.0,False,False,False,False,False,False,False,False,False
FB_055_B75D0172,FB_055_B75D0172_H1,vanilla,large_number,1272.0,False,False,False,False,False,False,False,False,False
FB_056_E46FAB20,FB_056_E46FAB20_H3,vanilla,dollar_amount,1519.0,False,False,False,False,False,False,False,False,True
FB_056_E46FAB20,FB_056_E46FAB20_H2,vanilla,dollar_amount,738.0,False,False,False,False,False,False,False,False,True
FB_056_E46FAB20,FB_056_E46FAB20_H1,vanilla,dollar_amount,1307.0,False,False,False,False,False,False,False,False,False
FB_057_2D006C3F,FB_057_2D006C3F_H3,vanilla,dollar_amount,606.8,False,False,False,False,False,False,False,False,False
FB_057_2D006C3F,FB_057_2D006C3F_H2,vanilla,dollar_amount,259.8,False,False,False,False,False,False,False,False,True
FB_057_2D006C3F,FB_057_2D006C3F_H1,vanilla,dollar_amount,788.1,False,False,False,False,False,False,False,False,True
FB_058_4FC4F0E9,FB_058_4FC4F0E9_H3,vanilla,dollar_amount,5585.0,False,False,False,False,False,False,False,False,True
FB_058_4FC4F0E9,FB_058_4FC4F0E9_H2,vanilla,percentage,91.9,False,False,False,False,False,False,False,False,False
FB_058_4FC4F0E9,FB_058_4FC4F0E9_H1,vanilla,dollar_amount,12544.0,False,False,False,False,False,False,False,False,False
FB_060_D8048F85,FB_060_D8048F85_H2,vanilla,dollar_amount,115274.0,False,False,False,False,False,False,False,False,True
FB_060_D8048F85,FB_060_D8048F85_H1,vanilla,dollar_amount,85028.0,False,False,False,False,False,False,False,False,True
FB_061_B30537F0,FB_061_B30537F0_H3,vanilla,dollar_amount,52278.0,False,False,False,False,False,False,False,False,True
FB_061_B30537F0,FB_061_B30537F0_H2,vanilla,dollar_amount,13434.0,False,False,False,False,False,False,False,False,False
FB_061_B30537F0,FB_061_B30537F0_H1,vanilla,percentage,14.4,False,False,False,False,False,False,False,False,True
FB_062_CCEDD88C,FB_062_CCEDD88C_H1,vanilla,dollar_amount,191569.0,False,False,False,False,False,False,False,False,True
FB_063_38B981AD,FB_063_38B981AD_H2,vanilla,percentage,0.9,False,False,False,False,False,False,False,False,False
FB_063_38B981AD,FB_063_38B981AD_H1,vanilla,dollar_amount,71042.0,False,False,False,False,False,False,False,False,False
FB_064_7576A9AF,FB_064_7576A9AF_H3,vanilla,dollar_amount,12426.0,False,False,False,False,False,False,False,False,True
FB_064_7576A9AF,FB_064_7576A9AF_H2,vanilla,dollar_amount,18525.0,False,False,False,False,False,False,False,False,True
FB_064_7576A9AF,FB_064_7576A9AF_H1,vanilla,dollar_amount,19162.0,False,False,False,False,False,False,False,False,False
FB_065_8F3B2425,FB_065_8F3B2425_H3,vanilla,dollar_amount,41886.0,False,False,False,False,False,False,False,False,True
FB_065_8F3B2425,FB_065_8F3B2425_H2,vanilla,dollar_amount,18532.0,False,False,False,False,False,False,False,False,True
FB_065_8F3B2425,FB_065_8F3B2425_H1,vanilla,dollar_amount,469.0,False,False,False,False,False,False,False,False,True
FB_067_92C7D508,FB_067_92C7D508_H3,vanilla,percentage,9.5,False,False,False,False,False,False,False,False,False
FB_067_92C7D508,FB_067_92C7D508_H2,vanilla,dollar_amount,1513.0,False,False,False,False,False,False,False,False,True
FB_067_92C7D508,FB_067_92C7D508_H1,vanilla,dollar_amount,3936.0,False,False,False,False,False,False,False,False,True
FB_068_46FFC913,FB_068_46FFC913_H2,vanilla,dollar_amount,58656.0,False,False,False,False,False,False,False,False,False
FB_068_46FFC913,FB_068_46FFC913_H1,vanilla,percentage,0.01,False,False,False,False,False,False,False,False,True
FB_069_15B93D82,FB_069_15B93D82_H2,vanilla,percentage,51.5,False,False,False,False,False,False,False,False,False
FB_069_15B93D82,FB_069_15B93D82_H1,vanilla,dollar_amount,25413.0,False,False,False,False,False,False,False,False,True
FB_070_4418F850,FB_070_4418F850_H3,vanilla,dollar_amount,5694.0,False,False,False,False,False,False,False,False,False
FB_070_4418F850,FB_070_4418F850_H2,vanilla,dollar_amount,14585.0,False,False,False,False,False,False,False,False,True
FB_070_4418F850,FB_070_4418F850_H1,vanilla,dollar_amount,14512.0,False,False,False,False,False,False,False,False,True
FB_071_0CB99E74,FB_071_0CB99E74_H3,vanilla,dollar_amount,4292.0,False,False,False,False,False,False,False,False,False
FB_071_0CB99E74,FB_071_0CB99E74_H2,vanilla,dollar_amount,73.0,False,False,False,False,False,False,False,False,False
FB_071_0CB99E74,FB_071_0CB99E74_H1,vanilla,dollar_amount,7381.0,False,False,False,False,False,False,False,False,False
FB_072_05A484DC,FB_072_05A484DC_H2,vanilla,dollar_amount,8255.0,False,False,False,False,False,False,False,False,True
FB_072_05A484DC,FB_072_05A484DC_H1,vanilla,large_number,2118.0,False,False,False,False,False,False,False,False,False
FB_073_5495DBB9,FB_073_5495DBB9_H3,vanilla,percentage,9.9,False,False,False,False,False,False,False,False,True
FB_073_5495DBB9,FB_073_5495DBB9_H2,vanilla,dollar_amount,221.0,False,False,False,False,False,False,False,False,True
FB_073_5495DBB9,FB_073_5495DBB9_H1,vanilla,dollar_amount,207.0,False,False,False,False,False,False,False,False,True
FB_074_499976A7,FB_074_499976A7_H2,vanilla,dollar_amount,6078.0,False,False,False,False,False,False,False,False,True
FB_074_499976A7,FB_074_499976A7_H1,vanilla,dollar_amount,9948.0,False,False,False,False,False,False,False,False,True
FB_075_D5F39BB5,FB_075_D5F39BB5_H2,vanilla,dollar_amount,38256.0,False,False,False,False,False,False,False,False,True
FB_075_D5F39BB5,FB_075_D5F39BB5_H1,vanilla,dollar_amount,41694.0,False,False,False,False,False,False,False,False,False
FB_076_1BF5949C,FB_076_1BF5949C_H3,vanilla,dollar_amount,124200.0,False,False,False,False,False,False,False,False,False
FB_076_1BF5949C,FB_076_1BF5949C_H2,vanilla,dollar_amount,27991.0,False,False,False,False,False,False,False,False,True
FB_076_1BF5949C,FB_076_1BF5949C_H1,vanilla,dollar_amount,29388.0,False,False,False,False,False,False,False,False,False
FB_077_6547C156,FB_077_6547C156_H3,vanilla,dollar_amount,2148.0,False,False,False,False,False,False,False,False,True
FB_077_6547C156,FB_077_6547C156_H2,vanilla,dollar_amount,3128.0,False,False,False,False,False,False,False,False,True
FB_077_6547C156,FB_077_6547C156_H1,vanilla,dollar_amount,78204.0,False,False,False,False,False,False,False,False,True
FB_078_F8A3C776,FB_078_F8A3C776_H2,vanilla,dollar_amount,2.0,False,False,False,False,False,False,False,False,True
FB_078_F8A3C776,FB_078_F8A3C776_H1,vanilla,dollar_amount,1.4,False,False,False,False,False,False,False,False,True
FB_079_C8770283,FB_079_C8770283_H3,vanilla,dollar_amount,0.68,False,False,False,False,False,False,False,False,False
FB_079_C8770283,FB_079_C8770283_H2,vanilla,dollar_amount,0.69,False,False,False,False,False,False,False,False,False
FB_079_C8770283,FB_079_C8770283_H1,vanilla,dollar_amount,1.25,False,False,False,False,False,False,False,False,False
FB_081_4E1CC3D9,FB_081_4E1CC3D9_H2,vanilla,large_number,63263625.0,False,False,False,False,False,False,False,False,True
FB_081_4E1CC3D9,FB_081_4E1CC3D9_H1,vanilla,large_number,12416701.0,False,False,False,False,False,False,False,False,True
