qid,type,inj_num,orig_num,inj_survived,orig_restored,g1_det,g2_det,g3_det,any_gate,g1_false_positive,g2_false_positive,g3_false_positive,any_false_positive,suppressed_no_restore
FB_090_72CFB567,dollar_amount,48060.0,34678.0,False,False,False,False,False,False,False,False,False,False,False
FB_090_72CFB567,dollar_amount,40543.0,34678.0,True,False,True,True,True,True,False,False,False,False,False
FB_091_82F6C167,dollar_amount,4690.0,3694.0,False,True,True,False,False,True,False,False,False,False,False
FB_091_82F6C167,dollar_amount,2388.0,3650.0,False,True,True,False,False,True,False,False,False,False,False
FB_091_82F6C167,dollar_amount,2481.0,3580.0,False,True,True,False,False,True,False,False,False,False,False
FB_092_1FF70EDD,dollar_amount,16.9,13.0,True,False,True,True,True,True,False,False,False,False,False
FB_093_3013F02B,dollar_amount,4412.0,3500.0,False,True,True,True,True,True,False,False,False,False,False
FB_094_62DF77C2,dollar_amount,32304.0,24000.0,False,True,True,True,False,True,False,False,False,False,False
FB_094_62DF77C2,percentage,26.36,19.87,False,True,True,True,False,True,False,False,False,False,False
FB_094_62DF77C2,percentage,25.1,19.87,False,True,True,True,False,True,False,False,False,False,False
FB_095_25B2B23C,dollar_amount,9112.0,14170.0,True,False,False,False,False,False,False,False,False,False,False
FB_095_25B2B23C,dollar_amount,5399.0,4020.0,False,False,True,True,True,True,False,False,False,False,True
FB_096_3F49DA9A,dollar_amount,2632855.0,3478000.0,False,True,True,True,False,True,False,False,False,False,False
FB_096_3F49DA9A,dollar_amount,126259.0,208000.0,False,True,True,True,False,True,False,False,False,False,False
FB_096_3F49DA9A,large_number,1899.0,3000.0,False,True,True,True,False,True,False,False,False,False,False
FB_097_2BA7758E,percentage,69.6,76.8,False,True,True,True,False,True,False,False,False,False,False
FB_097_2BA7758E,percentage,70.4,76.8,False,True,True,True,False,True,False,False,False,False,False
FB_098_7154A728,dollar_amount,801.0,1000.0,False,True,True,True,False,True,False,False,False,False,False
FB_098_7154A728,dollar_amount,12001.0,8640.0,True,True,False,False,False,False,False,False,False,False,False
FB_099_6BE111D5,dollar_amount,18.0,23.0,False,True,True,True,False,True,False,False,False,False,False
FB_099_6BE111D5,dollar_amount,6231.0,7500.0,False,True,True,True,False,True,False,False,False,False,False
FB_099_6BE111D5,dollar_amount,9150.0,7200.0,False,True,True,True,False,True,False,False,False,False,False
FB_100_6814F36E,dollar_amount,1172.0,1748.0,False,False,False,False,False,False,False,False,False,False,False
FB_100_6814F36E,dollar_amount,2011.0,1698.0,False,False,False,False,False,False,False,False,False,False,False
FB_101_79109208,dollar_amount,37987.0,45200.0,True,True,True,True,True,True,False,False,False,False,False
FB_101_79109208,dollar_amount,64022.0,46800.0,False,False,False,False,False,False,False,False,False,False,False
FB_102_F5764A3D,dollar_amount,16467.0,22189.0,True,False,False,False,False,False,False,False,False,False,False
FB_102_F5764A3D,dollar_amount,14968.0,12242.0,False,False,True,True,False,True,False,False,False,False,True
FB_103_98E6E9E2,dollar_amount,90117.0,65398.0,False,True,True,True,False,True,False,False,False,False,False
FB_103_98E6E9E2,dollar_amount,87879.0,67045.0,False,True,True,True,False,True,False,False,False,False,False
FB_104_AE0FFD33,dollar_amount,952.0,1479.0,False,False,True,False,False,True,False,False,False,False,True
FB_104_AE0FFD33,dollar_amount,1050.0,1379.0,False,False,True,False,False,True,False,False,False,False,True
FB_104_AE0FFD33,dollar_amount,1084.0,1295.0,False,True,True,False,False,True,False,False,False,False,False
FB_105_61DCE693,dollar_amount,8743.0,12865.0,True,False,False,False,False,False,False,False,False,False,False
FB_105_61DCE693,dollar_amount,17790.0,13165.0,True,False,False,False,False,False,False,False,False,False,False
FB_105_61DCE693,percentage,12.12,19.74,True,True,False,False,False,False,False,False,False,False,False
FB_106_EB0A9203,dollar_amount,1.0,2.0,False,True,True,True,False,True,False,False,False,False,False
FB_107_B17259C6,dollar_amount,532.0,394.0,True,True,True,True,True,True,False,False,False,False,False
FB_107_B17259C6,dollar_amount,59.0,96.0,True,True,True,True,True,True,False,False,False,False,False
FB_108_8E72B311,dollar_amount,793.0,1158.0,False,True,True,True,False,True,False,False,False,False,False
FB_108_8E72B311,dollar_amount,301.0,410.0,False,True,True,True,False,True,False,False,False,False,False
FB_109_F3781DA6,dollar_amount,4868.0,6324.0,False,True,True,True,False,True,False,False,False,False,False
FB_109_F3781DA6,dollar_amount,210.0,251.0,True,False,False,False,False,False,False,False,False,False,False
