hallucination_id,question_id,injection_type,trajectory_either,trajectory_judge,stage1_detected,stage4_detected,category,category_judge
FB_089_CF6163C6_H1,FB_089_CF6163C6,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_090_72CFB567_H3,FB_090_72CFB567,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_090_72CFB567_H2,FB_090_72CFB567,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_090_72CFB567_H1,FB_090_72CFB567,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_091_82F6C167_H3,FB_091_82F6C167,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_091_82F6C167_H2,FB_091_82F6C167,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_091_82F6C167_H1,FB_091_82F6C167,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_092_1FF70EDD_H1,FB_092_1FF70EDD,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_093_3013F02B_H1,FB_093_3013F02B,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_094_62DF77C2_H3,FB_094_62DF77C2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_094_62DF77C2_H2,FB_094_62DF77C2,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_094_62DF77C2_H1,FB_094_62DF77C2,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_095_25B2B23C_H2,FB_095_25B2B23C,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_095_25B2B23C_H1,FB_095_25B2B23C,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_096_3F49DA9A_H3,FB_096_3F49DA9A,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Partial Decay
FB_096_3F49DA9A_H2,FB_096_3F49DA9A,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_096_3F49DA9A_H1,FB_096_3F49DA9A,large_number,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Partial Decay
FB_097_2BA7758E_H2,FB_097_2BA7758E,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_097_2BA7758E_H1,FB_097_2BA7758E,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_098_7154A728_H2,FB_098_7154A728,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_098_7154A728_H1,FB_098_7154A728,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Partially Detected (caught at end),Partially Detected (caught at end)
FB_099_6BE111D5_H3,FB_099_6BE111D5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
